id,info_metric,info_get_better,info_technique,info_was_taught,strata,treatment
505,Corners,1,1.0,1.0,22.0,1.0
505,Waviness,1,,0.0,22.0,1.0
505,Weight,1,1.0,1.0,22.0,1.0
505,Touch,1,,0.0,22.0,1.0
505,Loom,2,,0.0,22.0,1.0
505,Sidda Tightness,2,,0.0,22.0,1.0
505,Inputs,1,,0.0,22.0,1.0
505,Loom Tightness,2,,0.0,22.0,1.0
505,Design Accuracy,1,1.0,1.0,22.0,1.0
505,Sidda Packedness,1,,0.0,22.0,1.0
505,Design Ability,1,,0.0,22.0,1.0
505,Overall,1,,0.0,22.0,1.0
520,Packedness,2,,0.0,22.0,0.0
520,Corners,2,,0.0,22.0,0.0
520,Waviness,2,,0.0,22.0,0.0
520,Weight,2,,0.0,22.0,0.0
520,Touch,2,,0.0,22.0,0.0
520,Loom,2,,0.0,22.0,0.0
520,Sidda Tightness,2,,0.0,22.0,0.0
520,Inputs,2,,0.0,22.0,0.0
520,Loom Tightness,2,,0.0,22.0,0.0
520,Design Accuracy,2,,0.0,22.0,0.0
520,Sidda Packedness,2,,0.0,22.0,0.0
520,Design Ability,2,,0.0,22.0,0.0
520,Overall,2,,0.0,22.0,0.0
564,Packedness,1,,0.0,21.0,1.0
564,Corners,1,,0.0,21.0,1.0
564,Waviness,2,,0.0,21.0,1.0
564,Weight,2,,0.0,21.0,1.0
564,Touch,1,,0.0,21.0,1.0
564,Loom,2,,0.0,21.0,1.0
564,Sidda Tightness,2,,0.0,21.0,1.0
564,Inputs,1,,0.0,21.0,1.0
564,Loom Tightness,2,,0.0,21.0,1.0
564,Design Accuracy,1,1.0,1.0,21.0,1.0
564,Sidda Packedness,2,,0.0,21.0,1.0
564,Design Ability,1,,0.0,21.0,1.0
564,Overall,1,,0.0,21.0,1.0
561,Packedness,1,,0.0,23.0,1.0
561,Corners,1,,0.0,23.0,1.0
561,Waviness,1,,0.0,23.0,1.0
561,Weight,1,1.0,1.0,23.0,1.0
561,Touch,1,,0.0,23.0,1.0
561,Loom,2,,0.0,23.0,1.0
561,Sidda Tightness,1,0.0,1.0,23.0,1.0
561,Inputs,1,,0.0,23.0,1.0
561,Loom Tightness,1,,0.0,23.0,1.0
561,Design Accuracy,1,,0.0,23.0,1.0
561,Sidda Packedness,1,,0.0,23.0,1.0
561,Design Ability,1,,0.0,23.0,1.0
561,Overall,1,,0.0,23.0,1.0
688,Packedness,1,1.0,1.0,23.0,0.0
688,Corners,1,,0.0,23.0,0.0
688,Waviness,2,,0.0,23.0,0.0
688,Weight,1,1.0,1.0,23.0,0.0
688,Touch,2,,0.0,23.0,0.0
688,Loom,2,,0.0,23.0,0.0
688,Sidda Tightness,1,,0.0,23.0,0.0
688,Inputs,2,,0.0,23.0,0.0
688,Loom Tightness,2,,0.0,23.0,0.0
688,Design Accuracy,2,,0.0,23.0,0.0
688,Sidda Packedness,2,,0.0,23.0,0.0
688,Design Ability,1,,0.0,23.0,0.0
688,Overall,1,,0.0,23.0,0.0
623,Packedness,2,,0.0,23.0,0.0
623,Corners,2,,0.0,23.0,0.0
623,Waviness,2,,0.0,23.0,0.0
623,Weight,2,1.0,1.0,23.0,0.0
623,Touch,2,,0.0,23.0,0.0
623,Loom,2,,0.0,23.0,0.0
623,Sidda Tightness,2,,0.0,23.0,0.0
623,Inputs,2,,0.0,23.0,0.0
623,Loom Tightness,2,,0.0,23.0,0.0
623,Design Accuracy,2,,0.0,23.0,0.0
623,Sidda Packedness,2,,0.0,23.0,0.0
623,Design Ability,2,,0.0,23.0,0.0
623,Overall,2,,0.0,23.0,0.0
661,Packedness,1,,0.0,21.0,0.0
661,Corners,1,,0.0,21.0,0.0
661,Waviness,1,,0.0,21.0,0.0
661,Weight,1,,0.0,21.0,0.0
661,Touch,1,,0.0,21.0,0.0
661,Loom,2,,0.0,21.0,0.0
661,Sidda Tightness,1,,0.0,21.0,0.0
661,Inputs,1,,0.0,21.0,0.0
661,Loom Tightness,1,,0.0,21.0,0.0
661,Design Accuracy,1,,0.0,21.0,0.0
661,Sidda Packedness,1,,0.0,21.0,0.0
661,Design Ability,1,,0.0,21.0,0.0
661,Overall,1,,0.0,21.0,0.0
603,Packedness,1,,0.0,22.0,0.0
603,Corners,1,,0.0,22.0,0.0
603,Waviness,2,,0.0,22.0,0.0
603,Weight,2,,0.0,22.0,0.0
603,Touch,1,,0.0,22.0,0.0
603,Loom,2,,0.0,22.0,0.0
603,Sidda Tightness,2,,0.0,22.0,0.0
603,Inputs,2,,0.0,22.0,0.0
603,Loom Tightness,2,,0.0,22.0,0.0
603,Design Accuracy,1,1.0,1.0,22.0,0.0
603,Sidda Packedness,2,,0.0,22.0,0.0
603,Design Ability,1,,0.0,22.0,0.0
603,Overall,1,,0.0,22.0,0.0
581,Packedness,2,,0.0,21.0,0.0
581,Corners,2,,0.0,21.0,0.0
581,Waviness,2,,0.0,21.0,0.0
581,Weight,2,0.0,1.0,21.0,0.0
581,Touch,2,,0.0,21.0,0.0
581,Loom,2,,0.0,21.0,0.0
581,Sidda Tightness,2,,0.0,21.0,0.0
581,Inputs,2,,0.0,21.0,0.0
581,Loom Tightness,2,,0.0,21.0,0.0
581,Design Accuracy,2,,0.0,21.0,0.0
581,Sidda Packedness,2,,0.0,21.0,0.0
581,Design Ability,2,,0.0,21.0,0.0
581,Overall,2,,0.0,21.0,0.0
681,Packedness,1,,0.0,23.0,1.0
681,Corners,1,,0.0,23.0,1.0
681,Waviness,2,,0.0,23.0,1.0
681,Weight,2,,0.0,23.0,1.0
681,Touch,2,,0.0,23.0,1.0
681,Loom,2,,0.0,23.0,1.0
681,Sidda Tightness,2,,0.0,23.0,1.0
681,Inputs,2,0.0,1.0,23.0,1.0
681,Loom Tightness,2,,0.0,23.0,1.0
681,Design Accuracy,1,,0.0,23.0,1.0
681,Sidda Packedness,1,0.0,1.0,23.0,1.0
681,Design Ability,1,,0.0,23.0,1.0
681,Overall,1,,0.0,23.0,1.0
682,Packedness,2,,0.0,22.0,0.0
682,Corners,2,,0.0,22.0,0.0
682,Waviness,2,,0.0,22.0,0.0
682,Weight,2,,0.0,22.0,0.0
682,Touch,2,,0.0,22.0,0.0
682,Loom,2,,0.0,22.0,0.0
682,Sidda Tightness,2,,0.0,22.0,0.0
682,Inputs,2,,0.0,22.0,0.0
682,Loom Tightness,2,,0.0,22.0,0.0
682,Design Accuracy,2,,0.0,22.0,0.0
682,Sidda Packedness,2,,0.0,22.0,0.0
682,Design Ability,2,,0.0,22.0,0.0
682,Overall,2,,0.0,22.0,0.0
670,Packedness,2,,0.0,21.0,0.0
670,Corners,1,,0.0,21.0,0.0
670,Waviness,2,,0.0,21.0,0.0
670,Weight,2,,0.0,21.0,0.0
670,Touch,2,,0.0,21.0,0.0
670,Loom,2,,0.0,21.0,0.0
670,Sidda Tightness,2,,0.0,21.0,0.0
670,Inputs,2,,0.0,21.0,0.0
670,Loom Tightness,2,,0.0,21.0,0.0
670,Design Accuracy,1,,0.0,21.0,0.0
670,Sidda Packedness,1,,0.0,21.0,0.0
670,Design Ability,1,,0.0,21.0,0.0
670,Overall,1,,0.0,21.0,0.0
559,Packedness,2,,0.0,21.0,0.0
559,Corners,2,,0.0,21.0,0.0
559,Waviness,2,,0.0,21.0,0.0
559,Weight,2,,0.0,21.0,0.0
559,Touch,2,,0.0,21.0,0.0
559,Loom,2,,0.0,21.0,0.0
559,Sidda Tightness,2,,0.0,21.0,0.0
559,Inputs,2,,0.0,21.0,0.0
559,Loom Tightness,2,,0.0,21.0,0.0
559,Design Accuracy,2,,0.0,21.0,0.0
